id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
181,Male,Urban,Bachelor,5L-10L,1,7,7720,More than 1,C,Gold,71124
182,Male,Urban,High School,5L-10L,0,6,6017,More than 1,A,Platinum,65772
183,Male,Urban,Bachelor,5L-10L,1,4,2366,1,A,Gold,47784
184,Female,Urban,Bachelor,5L-10L,1,8,5841,More than 1,A,Gold,146556
185,Female,Urban,Bachelor,2L-5L,0,7,5639,More than 1,A,Silver,32688
186,Female,Rural,High School,More than 10L,1,6,0,1,B,Platinum,34884
187,Male,Urban,High School,More than 10L,0,7,4640,1,B,Silver,68040
188,Male,Urban,Bachelor,2L-5L,1,6,4998,More than 1,B,Silver,70008
189,Female,Urban,High School,5L-10L,1,8,6100,1,A,Silver,52788
190,Male,Rural,Bachelor,5L-10L,1,3,0,1,A,Gold,31188
191,Male,Rural,High School,5L-10L,0,7,0,More than 1,B,Silver,66024
192,Female,Urban,High School,<=2L,0,5,6374,1,A,Platinum,36420
193,Female,Rural,High School,2L-5L,0,1,0,More than 1,C,Platinum,158028
194,Male,Urban,High School,5L-10L,0,5,15311,1,A,Platinum,34980
195,Female,Rural,High School,5L-10L,1,1,2386,1,C,Platinum,34656
196,Female,Urban,Bachelor,<=2L,0,1,3964,More than 1,A,Platinum,103824
197,Female,Urban,High School,5L-10L,1,5,5472,More than 1,A,Platinum,132780
198,Male,Urban,High School,5L-10L,0,4,5245,More than 1,B,Platinum,61752
199,Female,Urban,High School,5L-10L,0,6,6365,More than 1,A,Platinum,70020
200,Male,Urban,Bachelor,More than 10L,1,3,5843,1,A,Platinum,32808
201,Female,Urban,High School,2L-5L,0,1,5195,More than 1,A,Platinum,68436
202,Male,Rural,Bachelor,5L-10L,1,8,2833,1,B,Silver,60720
203,Male,Rural,High School,More than 10L,1,4,0,1,B,Silver,32940
204,Male,Urban,High School,5L-10L,0,5,10116,More than 1,A,Platinum,109344
205,Male,Rural,Bachelor,5L-10L,1,6,2118,More than 1,B,Platinum,175572
206,Male,Urban,High School,5L-10L,1,6,2467,More than 1,A,Platinum,59544
207,Female,Rural,High School,5L-10L,1,8,2678,More than 1,B,Silver,69084
208,Male,Urban,Bachelor,2L-5L,1,6,4335,1,B,Silver,68748
209,Male,Urban,High School,More than 10L,1,5,5628,1,A,Gold,39300
210,Male,Rural,Others,5L-10L,1,2,0,1,A,Platinum,59436
211,Male,Urban,Bachelor,2L-5L,1,5,3770,More than 1,C,Platinum,68460
212,Female,Urban,Bachelor,5L-10L,0,3,3900,More than 1,A,Platinum,62172
213,Male,Urban,Bachelor,5L-10L,1,4,3737,1,A,Silver,53484
214,Male,Urban,Bachelor,2L-5L,0,2,2369,More than 1,C,Platinum,77568
215,Male,Urban,Bachelor,2L-5L,0,8,7120,More than 1,A,Gold,53568
216,Female,Rural,Bachelor,5L-10L,1,7,0,1,B,Platinum,60468
217,Male,Rural,High School,More than 10L,1,5,0,More than 1,B,Gold,90732
218,Female,Urban,High School,More than 10L,1,4,3771,More than 1,A,Platinum,64644
219,Male,Rural,High School,5L-10L,1,6,3490,1,B,Silver,35052
220,Male,Urban,Bachelor,5L-10L,0,8,4142,More than 1,A,Gold,105648
221,Male,Urban,High School,5L-10L,1,1,4054,More than 1,A,Gold,67380
222,Male,Urban,High School,2L-5L,1,4,8804,More than 1,B,Platinum,130752
223,Male,Rural,Bachelor,More than 10L,1,8,0,More than 1,A,Silver,63672
224,Male,Urban,Bachelor,5L-10L,1,4,6513,More than 1,B,Platinum,67032
225,Male,Urban,High School,2L-5L,0,7,5452,More than 1,A,Platinum,58716
226,Male,Urban,High School,2L-5L,0,6,5123,1,A,Gold,32508
227,Male,Urban,Bachelor,2L-5L,1,7,0,1,B,Silver,59616
228,Male,Rural,High School,5L-10L,0,7,0,More than 1,C,Gold,68988
229,Male,Urban,High School,2L-5L,1,6,7782,1,A,Platinum,55476
230,Female,Rural,High School,More than 10L,0,7,2528,More than 1,A,Platinum,56028
231,Male,Urban,Bachelor,5L-10L,0,7,2460,1,A,Silver,48240
232,Male,Rural,Bachelor,More than 10L,0,5,0,1,A,Platinum,30744
233,Male,Urban,Bachelor,2L-5L,1,6,5460,1,B,Silver,58500
234,Female,Rural,Bachelor,2L-5L,0,6,5963,More than 1,B,Silver,69516
235,Male,Urban,High School,5L-10L,1,6,5611,More than 1,C,Platinum,88068
236,Male,Urban,Bachelor,5L-10L,0,7,2363,1,A,Platinum,33612
237,Male,Urban,Bachelor,5L-10L,1,7,4343,More than 1,A,Platinum,296832
238,Male,Urban,High School,5L-10L,1,2,4448,More than 1,A,Platinum,246876
239,Female,Urban,High School,2L-5L,1,2,8603,More than 1,A,Platinum,398700
240,Male,Urban,Others,2L-5L,0,7,3895,1,B,Gold,67140
241,Male,Urban,High School,5L-10L,0,3,7171,More than 1,C,Platinum,94980
242,Female,Urban,Bachelor,More than 10L,1,7,0,1,B,Silver,66324
243,Male,Urban,High School,5L-10L,1,7,5561,1,A,Gold,47520
244,Female,Urban,High School,2L-5L,1,6,5603,1,A,Silver,50292
245,Female,Rural,High School,2L-5L,1,6,0,More than 1,A,Gold,141048
246,Female,Rural,High School,5L-10L,1,0,5525,1,A,Platinum,58068
247,Male,Urban,High School,2L-5L,1,5,3706,1,A,Gold,28728
248,Female,Rural,High School,5L-10L,1,2,0,1,B,Platinum,32220
249,Male,Rural,Bachelor,5L-10L,1,8,0,1,A,Platinum,51420
250,Female,Urban,Bachelor,More than 10L,0,7,7447,More than 1,A,Platinum,100440
251,Male,Urban,High School,5L-10L,0,6,3931,1,A,Gold,33360
252,Male,Urban,High School,More than 10L,0,2,6361,More than 1,A,Platinum,499656
253,Male,Rural,Bachelor,5L-10L,1,4,2572,1,B,Platinum,31344
254,Female,Urban,Bachelor,More than 10L,0,3,0,1,A,Platinum,67560
255,Female,Urban,Bachelor,<=2L,0,6,7260,More than 1,B,Silver,51684
256,Male,Rural,Bachelor,5L-10L,0,4,0,1,A,Platinum,52800
257,Female,Urban,High School,5L-10L,1,6,3650,More than 1,A,Platinum,69456
258,Male,Urban,Bachelor,5L-10L,1,6,6507,More than 1,A,Platinum,200088
259,Male,Urban,High School,More than 10L,1,4,4127,More than 1,A,Silver,102036
260,Female,Rural,High School,5L-10L,0,4,4784,More than 1,A,Gold,272244
261,Male,Urban,High School,2L-5L,0,1,16871,More than 1,A,Platinum,65376
262,Female,Rural,High School,5L-10L,1,3,2993,1,B,Platinum,60168
263,Female,Urban,High School,5L-10L,1,5,8365,1,A,Silver,76080
264,Male,Urban,High School,5L-10L,0,2,7361,1,A,Gold,34332
265,Female,Rural,High School,More than 10L,1,6,3615,1,B,Silver,53292
266,Male,Urban,High School,More than 10L,0,5,6350,More than 1,A,Gold,63312
267,Male,Urban,High School,5L-10L,1,4,4303,More than 1,A,Platinum,60492
268,Male,Urban,High School,2L-5L,1,2,5820,1,A,Platinum,71520
269,Male,Rural,High School,5L-10L,1,2,0,1,A,Gold,31008
270,Female,Urban,High School,2L-5L,0,6,3935,1,A,Gold,31068
271,Male,Urban,High School,5L-10L,0,5,10855,More than 1,A,Platinum,102696
272,Female,Rural,High School,5L-10L,1,4,2425,1,A,Platinum,50244
273,Female,Rural,High School,5L-10L,0,1,0,1,B,Silver,35364
274,Female,Urban,High School,5L-10L,1,5,3751,1,A,Platinum,63804
275,Male,Urban,Bachelor,5L-10L,0,3,10268,More than 1,A,Platinum,106536
276,Female,Rural,High School,5L-10L,1,4,0,1,C,Gold,63756
277,Male,Urban,Bachelor,5L-10L,1,2,0,More than 1,A,Platinum,34032
278,Male,Urban,High School,5L-10L,1,2,14698,More than 1,A,Platinum,172260
279,Male,Urban,High School,2L-5L,0,5,7505,1,B,Platinum,65712
280,Male,Urban,Bachelor,5L-10L,1,5,6158,More than 1,A,Gold,58380
281,Female,Rural,High School,5L-10L,0,6,3941,1,A,Platinum,29796
282,Male,Rural,High School,5L-10L,1,3,4242,More than 1,A,Gold,63948
283,Male,Urban,Bachelor,5L-10L,1,1,6278,1,A,Silver,75192
284,Female,Urban,High School,5L-10L,1,4,5843,More than 1,A,Platinum,96492
285,Female,Urban,High School,2L-5L,1,3,5005,1,A,Platinum,30900
286,Male,Urban,High School,More than 10L,0,4,3986,More than 1,A,Platinum,62664
287,Female,Urban,High School,5L-10L,1,4,10558,1,A,Gold,57780
288,Male,Rural,High School,More than 10L,0,3,3459,More than 1,B,Platinum,64248
289,Female,Urban,High School,5L-10L,0,7,3749,1,A,Platinum,66072
290,Female,Rural,Bachelor,5L-10L,1,6,0,More than 1,B,Platinum,62040
291,Female,Urban,High School,5L-10L,1,3,3735,More than 1,A,Platinum,56448
292,Female,Rural,Bachelor,2L-5L,1,7,4120,More than 1,B,Silver,110316
293,Male,Urban,High School,5L-10L,1,8,6706,1,A,Gold,58608
294,Male,Rural,Bachelor,5L-10L,1,6,0,More than 1,A,Gold,65388
295,Male,Urban,High School,5L-10L,1,8,11386,More than 1,B,Silver,73440
296,Male,Rural,High School,5L-10L,0,4,0,1,A,Platinum,30492
297,Female,Urban,Bachelor,5L-10L,0,3,10974,More than 1,A,Platinum,102084
298,Male,Urban,Bachelor,5L-10L,1,7,2452,More than 1,B,Gold,70272
299,Male,Rural,High School,5L-10L,1,5,8392,More than 1,A,Gold,99132
300,Male,Urban,Bachelor,5L-10L,0,7,6992,More than 1,A,Silver,64848
301,Male,Urban,High School,5L-10L,1,7,5803,More than 1,B,Platinum,211608
302,Female,Urban,High School,5L-10L,1,1,0,More than 1,A,Silver,624216
303,Female,Rural,High School,5L-10L,1,4,0,More than 1,A,Platinum,60948
304,Female,Urban,Bachelor,2L-5L,0,4,3562,More than 1,A,Silver,62664
305,Male,Urban,High School,5L-10L,0,1,6590,More than 1,A,Platinum,371148
306,Male,Urban,High School,5L-10L,1,5,4356,More than 1,B,Platinum,64332
307,Male,Urban,High School,5L-10L,0,8,7235,More than 1,A,Platinum,98112
308,Male,Urban,Bachelor,5L-10L,1,7,6908,More than 1,A,Platinum,89652
309,Female,Rural,Bachelor,5L-10L,1,5,2794,More than 1,C,Platinum,139308
310,Male,Urban,High School,5L-10L,1,5,5326,1,B,Silver,37104
311,Male,Urban,High School,2L-5L,0,6,8093,More than 1,B,Platinum,105984
312,Female,Urban,High School,5L-10L,0,5,9826,More than 1,A,Platinum,587496
313,Female,Urban,High School,2L-5L,1,4,0,More than 1,A,Platinum,162060
314,Female,Urban,Bachelor,More than 10L,1,6,2418,More than 1,A,Gold,32796
315,Female,Rural,High School,More than 10L,1,0,3595,More than 1,B,Silver,73932
316,Female,Urban,High School,5L-10L,1,3,4125,1,B,Platinum,65148
317,Female,Rural,Bachelor,More than 10L,1,7,2515,1,B,Platinum,35700
318,Female,Rural,Bachelor,More than 10L,0,6,0,1,A,Gold,41892
319,Female,Urban,Bachelor,5L-10L,0,5,5020,1,A,Gold,56112
320,Male,Urban,High School,5L-10L,1,8,6521,More than 1,A,Platinum,174924
321,Female,Rural,High School,5L-10L,1,2,2552,More than 1,A,Gold,59568
322,Male,Rural,Bachelor,5L-10L,1,1,2861,1,A,Platinum,71892
323,Male,Rural,High School,5L-10L,0,7,2385,1,B,Silver,31632
324,Male,Urban,High School,2L-5L,1,2,6034,More than 1,A,Gold,437460
325,Male,Rural,High School,More than 10L,1,6,3364,More than 1,A,Platinum,99144
326,Female,Urban,Others,2L-5L,1,4,5691,More than 1,B,Gold,101004
327,Female,Rural,High School,More than 10L,1,6,0,1,A,Platinum,69948
328,Female,Urban,High School,5L-10L,1,3,5686,1,B,Platinum,71292
329,Female,Urban,High School,2L-5L,1,3,5454,More than 1,A,Platinum,96408
330,Male,Urban,Bachelor,2L-5L,1,8,15046,More than 1,A,Platinum,155520
331,Female,Urban,Bachelor,More than 10L,1,6,3986,More than 1,A,Platinum,108924
332,Female,Urban,Bachelor,5L-10L,1,4,2570,More than 1,A,Platinum,111012
333,Female,Rural,Bachelor,More than 10L,1,7,0,More than 1,B,Platinum,60624
334,Female,Urban,High School,5L-10L,0,6,0,1,A,Platinum,47376
335,Female,Urban,Bachelor,5L-10L,1,2,0,More than 1,A,Platinum,299556
336,Male,Urban,Bachelor,5L-10L,1,3,0,More than 1,A,Silver,110100
337,Male,Rural,Bachelor,More than 10L,0,8,0,More than 1,B,Gold,59964
338,Female,Urban,High School,2L-5L,1,1,2375,More than 1,C,Platinum,261240
339,Male,Urban,High School,2L-5L,1,7,3682,More than 1,B,Gold,180120
340,Female,Urban,Bachelor,5L-10L,1,1,3778,More than 1,B,Gold,102024
341,Female,Urban,High School,5L-10L,0,0,6350,More than 1,A,Silver,65088
342,Male,Rural,Bachelor,More than 10L,1,8,0,More than 1,B,Silver,99960
343,Male,Rural,Bachelor,5L-10L,1,2,0,1,B,Platinum,36720
344,Male,Urban,Bachelor,More than 10L,1,6,4101,1,A,Platinum,31896
345,Male,Rural,Bachelor,5L-10L,0,3,0,More than 1,A,Gold,223320
346,Male,Urban,High School,5L-10L,1,5,0,More than 1,A,Gold,298944
347,Female,Urban,High School,5L-10L,1,2,6608,More than 1,A,Gold,92916
348,Female,Urban,Bachelor,2L-5L,1,6,3074,More than 1,B,Platinum,68688
349,Female,Urban,Bachelor,5L-10L,1,6,5432,More than 1,A,Platinum,92988
350,Male,Urban,High School,5L-10L,0,8,4217,More than 1,A,Gold,96528
351,Female,Urban,High School,5L-10L,1,5,2372,More than 1,A,Platinum,64260
352,Female,Urban,Bachelor,2L-5L,0,7,12245,More than 1,B,Gold,183348
